Locality,Name,Owner_Applicant,Street_Address,Year Operational,Acres,Building_Sq_Ft,MW_reported,MW estimated,MWh per day,Gallons per day,dB from 100ft,Construction_Type,Build_Status,Lat,Long
Loudoun County,21821 UUNET DR,ALIGNED ENERGY DATA CENTERS,21821 UUNET DR,2018,10.85,"438,460",118.3842,118.3842,2272.97664,1080940.014,55,Complete,Existing,39.01025528,-77.474975
Loudoun County,ASH3 DC2,QTS,22271 SHELLHORN RD,2019,10.92,"302,180",81.5886,81.5886,1566.50112,744967.5075,55,Complete,Existing,38.99865778,-77.474192
Loudoun County,ALIGNED ENERGY DATA CENTERS ASHBURN,ALIGNED ENERGY DATA CENTERS,21838 UUNET DR,2019,6.15,"107,253",28.95831,28.95831,555.999552,264411.9402,55,Complete,Existing,39.01321236,-77.472966
Loudoun County,NTT Global Data Centers,NTT GLOBAL DATA CENTERS VA LLC,44245 GIGABIT PLZ,2020,77.92,1376853,32,371.75031,614.4,292184.9406,55,"Operating, Expanding",Existing,39.018154,-77.472889
Loudoun County,DULLES BERRY LC4,CloudHQ,22200 LOUDOUN COUNTY PKWY,2023,94.16,"1,434,706",387.37062,387.37062,7437.515904,3536995.674,55,Complete,Existing,39.00252011,-77.472279
Loudoun County,NTT Global Data Centers Building 7,NTT GLOBAL DATA CENTERS VA LLC,44245 GIGABIT PLZ,2023,78,270856,22,73.13112,422.4,200877.1466,55,Expansion,Existing,39.01596573,-77.472077
Loudoun County,SDC ASHBURN I,SDC ASHBURN ALPHA I LLC,44351 IMPORT PLZ,2024,50,531592,85,143.52984,1632,776116.2483,55,"Operating, Expanding",Existing,38.99620896,-77.471638
Loudoun County,ALIGNED DATA CENTER IAD01,ALIGNED ENERGY DATA CENTERS,21890 UUNET DR,2019,8.85,"368,600",99.522,99.522,1910.8224,908713.4267,55,Complete,Existing,39.01393563,-77.469974
Loudoun County,BLUE SLING ACC 9,BLUE SLING ACC 9 LLC,21745 SIR TIMOTHY DR,2018,18.82,"362,100",97.767,97.767,1877.1264,892688.9089,55,Complete,Existing,39.01549243,-77.467579
Loudoun County,IAD Round Table Campus Digital Realty,DIGITAL LOUDOUN 3 LLC,44274 ROUND TABLE PLZ,2019,93.69,"1,564,173",422.32671,422.32671,8108.672832,3856172.021,55,Complete,Existing,39.00662947,-77.466196
Loudoun County,DIGITAL REALTY ACC10,BLUE SLING ACC 10 LLC,21744 SIR TIMOTHY DR,2018,16.56,"288,400",77.868,77.868,1495.0656,710995.5297,55,Complete,Existing,39.01327692,-77.466018
Loudoun County,ACC7 Digital Realty,ALSHAIN VENTURES LLC,21625 GRESHAM DR,2010,23.33,"446,500",120.555,120.555,2314.656,1100761.11,55,Complete,Existing,39.01753003,-77.465678
Loudoun County,44621 WAXPOOL RD,KAVEH VENTURES LLC,44621 WAXPOOL RD,2019,15.73,"493,504",133.24608,133.24608,2558.324736,1216640.561,55,Complete,Existing,39.01213849,-77.462911
Loudoun County,21955 LOUDOUN COUNTY PKWY,CloudHQ,21955 LOUDOUN COUNTY PKWY,2016,29.96,"983,994",265.67838,265.67838,5101.024896,2425850.677,55,Complete,Existing,39.01002754,-77.462737
Loudoun County,ACC4 Digital Realty,Digital Realty,44480 HASTINGS DR,2007,17.15,286865,36,77.45355,691.2,328708.0581,55,Complete,Existing,39.01794393,-77.46266
Loudoun County,STACK NVA04,STACK INFRASTRUCTURE,22271 LOCKRIDGE RD,2022,8.52,371211,72,100.22697,1382.4,657416.1162,55,Complete,Existing,38.999166,-77.460786
Loudoun County,STACK NVA04,STACK INFRASTRUCTURE,22285 LOCKRIDGE RD,2022,8.54,371941,72,100.42407,1382.4,657416.1162,55,Complete,Existing,39.000746,-77.460305
Loudoun County,44520 HASTINGS DR,QUILL EQUITY LLC,44520 HASTINGS DR,2016,9.4,"148,717",40.15359,40.15359,770.948928,366633.5721,55,Complete,Existing,39.01993471,-77.459889
Loudoun County,Filigree Ct Campus,EQUINIX,21701 FILIGREE CT,2007,31.97,"679,455",183.45285,183.45285,3522.29472,1675067.502,55,Complete,Existing,39.01585308,-77.459886
Loudoun County,CLOUD HQ LC3,LOHRASP VENTURES LLC,44631 WAXPOOL RD,2022,15.38,"585,593",158.11011,158.11011,3035.714112,1443668.534,55,Complete,Existing,39.01115409,-77.45961
